store,city,district,population,address,lng,lat,city_district
광교상현역점,경기도,용인시,1042229.0,경기도 용인시 수지구 광교중앙로 314,127.06974050000001,37.29787320000001,경기도용인시
광교웰빙타운점,경기도,수원시,1198461.0,경기도 수원시 영통구 대학로 103,127.0471611,37.3046533,경기도수원시
광교힐스테이트점,경기도,수원시,1198461.0,경기도 수원시 영통구 도청로 65,127.050467,37.287934,경기도수원시
광명금당사거리,경기도,광명시,323527.0,경기도 광명시 금당로 36,126.88199709999999,37.4588537,경기도광명시
광명새마을시장점,경기도,광명시,323527.0,경기도 광명시 광명로 837,126.8508481,37.474100899999996,경기도광명시
광명소하점,경기도,광명시,323527.0,경기도 광명시 기아로 9,126.88067659999999,37.4366392,경기도광명시
광명시청점,경기도,광명시,323527.0,경기도 광명시 오리로 932,126.8595885,37.478116,경기도광명시
광명점,경기도,광명시,323527.0,경기도 광명시 광복로 66,126.8656,37.4898263,경기도광명시
광양광영점,전라남도,광양시,152104.0,전라남도 광양시 금영로 132-1 ,127.7198129,34.9624542,전라남도광양시
광양마동점,전라남도,광양시,152104.0,전라남도 광양시 마동 1023-2 ,127.69006329999999,34.95486939999999,전라남도광양시
광양읍점,전라남도,광양시,152104.0,전라남도 광양시 광양읍 읍내리 285-2 ,127.5866282,34.975371200000005,전라남도광양시
광양중동점,전라남도,광양시,152104.0,전라남도 광양시 중동 1655 ,127.6934514,34.9368844,전라남도광양시
광장점,서울특별시,광진구,354344.0,서울특별시 광진구 아차산로 499,127.09704369999999,37.5418265,서울특별시광진구
광주1호점,경기도,광주시,366092.0,경기도 광주시 오포읍 마루들길 208,127.2547485,37.3783382,경기도광주시
광주경안점,경기도,광주시,366092.0,경기도 광주시 경안로 32,127.25728840000001,37.4098013,경기도광주시
광주광천점,광주광역시,서구,301909.0,광주광역시 서구 광천동 199-4 ,126.87837169999999,35.1658413,광주광역시서구
광주금호점,광주광역시,서구,301909.0,광주광역시 서구 금호동 805번지,126.8566197,35.131487,광주광역시서구
광주내방점,광주광역시,서구,301909.0,광주광역시 서구 내방동 576 ,126.873749,35.15658320000001,광주광역시서구
광주동림점,광주광역시,서구,301909.0,광주광역시 서구 동천동 658 동천주공6단지 104호,126.871605,35.1702485,광주광역시서구
광주두암2동점,광주광역시,북구,436188.0,광주광역시 북구 두암3동 916-6 ,126.93670929999999,35.1714199,광주광역시북구
광주문흥점,광주광역시,북구,436188.0,"광주광역시 북구 문흥동 995-6 ""모아상가""",126.9238014,35.1852289,광주광역시북구
광주백운점,광주광역시,남구,217949.0,광주광역시 남구 백운동 460 ,126.9061422,35.139364799999996,광주광역시남구
광주봉선시장점,광주광역시,남구,217949.0,"광주광역시 남구 봉선동 985 라인광장제2차상가 103,4호 ",126.90999040000001,35.1298302,광주광역시남구
광주봉선점,광주광역시,남구,217949.0,광주광역시 남구 봉선동 114-10 ,126.91279750000001,35.1236322,광주광역시남구
광주상무버들점,광주광역시,서구,301909.0,광주광역시 서구 유촌동 865-2 ,126.85977390000001,35.1646344,광주광역시서구
광주상무점,광주광역시,서구,301909.0,광주광역시 서구 치평동 1177-3 골드사우나102호 ,126.8477906,35.1487039,광주광역시서구
광주선운점,광주광역시,광산구,406384.0,광주광역시 광산구 선암동 ,126.7735129,35.150698999999996,광주광역시광산구
광주송정점,광주광역시,광산구,406384.0,광주광역시 광산구 송정동 895-1 ,126.7977274,35.13477020000001,광주광역시광산구
광주수완점(성덕교점),광주광역시,광산구,406384.0,"광주광역시 광산구 수완동 1428, 102호",126.82532309999999,35.19038360000001,광주광역시광산구
광주수완중흥점,광주광역시,광산구,406384.0,광주광역시 광산구 신가동 1280 ,126.81723500000001,35.1813406,광주광역시광산구
광주신창점,광주광역시,광산구,406384.0,광주광역시 광산구 신창동 1224-7 ,126.8373405,35.191824,광주광역시광산구
광주양산점,광주광역시,북구,436188.0,광주광역시 북구 양산동 875번지 ,126.87862240000001,35.21033629999999,광주광역시북구
광주양촌사거리점,경기도,광주시,366092.0,경기도 광주시 오포읍 양촌길 116-4,127.24674990000001,37.3703909,경기도광주시
광주연제점,광주광역시,북구,436188.0,광주광역시 북구 연제동 36-1 현대APT상가 104호 ,126.87132040000002,35.198885,광주광역시북구
광주염주점,광주광역시,서구,301909.0,광주광역시 서구 화정4동 919-7 ,126.87350409999999,35.1409056,광주광역시서구
광주오치점,광주광역시,북구,436188.0,광주광역시 북구 오치동 949-27,126.90283190000001,35.1873966,광주광역시북구
광주우산점,광주광역시,북구,436188.0,광주광역시 북구 문흥동 939-1,126.91713659999999,35.1790687,광주광역시북구
광주운남점,광주광역시,광산구,406384.0,"광주광역시 광산구 운남동 785-3 ""운남메디칼"" ",126.8143932,35.1753937,광주광역시광산구
광주운암점,광주광역시,북구,436188.0,광주광역시 북구 운암동 67번지 1-A ,126.87722120000001,35.1767689,광주광역시북구
광주월계점,광주광역시,광산구,406384.0,광주광역시 광산구 월계동 759-3 ,126.8360699,35.218103899999996,광주광역시광산구
광주일곡점,광주광역시,북구,436188.0,광주광역시 북구 일곡동 850-5 호반APT상가 103호 ,126.8967179,35.208181,광주광역시북구
광주장덕점,광주광역시,광산구,406384.0,광주광역시 광산구 장덕동 1390,126.81458429999999,35.1946036,광주광역시광산구
광주전대상대점,광주광역시,북구,436188.0,광주광역시 북구 용봉동 1238-30 ,126.90079720000001,35.179203799999996,광주광역시북구
