rank,title,year
1,Lady Bird ,2017
2,Get Out ,2017
3,Wonder Woman ,2017
4,Coco ,2017
5,Dunkirk ,2017
6,Star Wars: The Last Jedi ,2017
7,The Big Sick ,2017
8,The Shape of Water ,2017
9,Logan ,2017
10,Thor: Ragnarok ,2017
11,Baby Driver ,2017
12,The Florida Project ,2017
13,Spider-Man: Homecoming ,2017
14,War for the Planet of the Apes ,2017
15,"Three Billboards Outside Ebbing, Missouri ",2017
16,I Am Not Your Negro ,2017
17,Hidden Figures ,2017
18,Blade Runner 2049 ,2017
19,The Disaster Artist ,2017
20,Mudbound ,2017
21,Faces Places ,2017
22,The Salesman ,2017
23,Logan Lucky ,2017
24,My Life as a Zucchini ,2017
25,The Lego Batman Movie ,2017
26,BPM ,2017
27,Kedi ,2017
28,Lucky ,2017
29,Jane ,2017
30,City of Ghosts ,2017
31,Bright Lights: Starring Carrie Fisher and Debbie Reynolds ,2017
32,The Work ,2017
33,Dawson City: Frozen Time ,2017
34,God's Own Country ,2017
35,Columbus ,2017
36,Good Time ,2017
37,Truman ,2017
38,Strong Island ,2017
39,Your Name. ,2017
40,After the Storm ,2017
41,A Ghost Story ,2017
42,One Cut of the Dead ,2017
43,Whose Streets? ,2017
44,Guardians of the Galaxy Vol. 2 ,2017
45,Graduation ,2017
46,It ,2017
47,Menashe ,2017
48,The Meyerowitz Stories ,2017
49,John Wick: Chapter 2 ,2017
50,Quest ,2017
51,Dina ,2017
52,Step ,2017
53,The Red Turtle ,2017
54,In This Corner of the World ,2017
55,Trophy ,2017
56,"I, Daniel Blake ",2017
57,Raw ,2017
58,1945 ,2017
59,Ex Libris: New York Public Library ,2017
60,The Last Laugh ,2017
61,Dolores ,2017
62,A Quiet Passion ,2017
63,The Breadwinner ,2017
64,Bombshell: The Hedy Lamarr Story ,2017
65,20th Century Women ,2017
66,The B-Side: Elsa Dorfman's Portrait Photography ,2017
67,Thelma ,2017
68,The Happiest Day in the Life of Olli Mäki ,2017
69,Battle of the Sexes ,2017
70,Stronger ,2017
71,I Called Him Morgan ,2017
72,Girls Trip ,2017
73,"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton ",2017
74,Félicité ,2017
75,The Women's Balcony ,2017
76,The Survivalist ,2017
77,It Comes At Night ,2017
78,Wind River ,2017
79,American Made ,2017
80,Darkest Hour ,2017
81,A Monster Calls ,2017
82,Lady Macbeth ,2017
83,Their Finest ,2017
84,Frantz ,2017
85,Okja ,2017
86,Detroit ,2017
87,The Lost City of Z ,2017
88,Gook ,2017
89,Citizen Jane: Battle for the City ,2017
90,Abacus: Small Enough to Jail ,2017
91,Icarus ,2017
92,All This Panic ,2017
93,Human Flow ,2017
94,Maudie ,2017
95,Endless Poetry ,2017
96,The Other Side of Hope ,2017
97,Land of Mine ,2017
98,Prevenge ,2017
99,Silence ,2017
100,School Life ,2017
