store,address,city,district,lng,lat
광주광천점,광주광역시 서구 광천동 199-4 ,광주광역시,서구,126.87837169999999,35.1658413
광주금호점,광주광역시 서구 금호동 805번지,광주광역시,서구,126.8566197,35.131487
광주내방점,광주광역시 서구 내방동 576 ,광주광역시,서구,126.873749,35.15658320000001
광주동림점,광주광역시 서구 동천동 658 동천주공6단지 104호,광주광역시,서구,126.871605,35.1702485
광주두암2동점,광주광역시 북구 두암3동 916-6 ,광주광역시,북구,126.93670929999999,35.1714199
광주문흥점,"광주광역시 북구 문흥동 995-6 ""모아상가""",광주광역시,북구,126.9238014,35.1852289
광주백운점,광주광역시 남구 백운동 460 ,광주광역시,남구,126.9061422,35.139364799999996
광주봉선시장점,"광주광역시 남구 봉선동 985 라인광장제2차상가 103,4호 ",광주광역시,남구,126.90999040000001,35.1298302
광주봉선점,광주광역시 남구 봉선동 114-10 ,광주광역시,남구,126.91279750000001,35.1236322
광주상무버들점,광주광역시 서구 유촌동 865-2 ,광주광역시,서구,126.85977390000001,35.1646344
광주상무점,광주광역시 서구 치평동 1177-3 골드사우나102호 ,광주광역시,서구,126.8477906,35.1487039
광주선운점,광주광역시 광산구 선암동 ,광주광역시,광산구,126.7735129,35.150698999999996
광주송정점,광주광역시 광산구 송정동 895-1 ,광주광역시,광산구,126.7977274,35.134770200000006
광주송정점,경기도 광주시 중앙로 323,경기도,광주시,127.2581567,37.4283589
광주수완점(성덕교점),"광주광역시 광산구 수완동 1428, 102호",광주광역시,광산구,126.82532309999999,35.190383600000004
광주수완중흥점,광주광역시 광산구 신가동 1280 ,광주광역시,광산구,126.81723500000001,35.1813406
광주신창점,광주광역시 광산구 신창동 1224-7 ,광주광역시,광산구,126.8373405,35.191824
광주양산점,광주광역시 북구 양산동 875번지 ,광주광역시,북구,126.87862240000001,35.210336299999994
광주양촌사거리점,경기도 광주시 오포읍 양촌길 116-4,경기도,광주시,127.24674990000001,37.3703909
광주연제점,광주광역시 북구 연제동 36-1 현대APT상가 104호 ,광주광역시,북구,126.87132040000002,35.198885
광주염주점,광주광역시 서구 화정4동 919-7 ,광주광역시,서구,126.87350409999999,35.1409056
광주오치점,광주광역시 북구 오치동 949-27,광주광역시,북구,126.90283190000001,35.1873966
광주우산점,광주광역시 북구 문흥동 939-1,광주광역시,북구,126.91713659999999,35.1790687
광주운남점,"광주광역시 광산구 운남동 785-3 ""운남메디칼"" ",광주광역시,광산구,126.8143932,35.1753937
광주운암점,광주광역시 북구 운암동 67번지 1-A ,광주광역시,북구,126.87722120000001,35.1767689
광주월계점,광주광역시 광산구 월계동 759-3 ,광주광역시,광산구,126.8360699,35.218103899999996
광주일곡점,광주광역시 북구 일곡동 850-5 호반APT상가 103호 ,광주광역시,북구,126.8967179,35.208181
광주장덕점,광주광역시 광산구 장덕동 1390,광주광역시,광산구,126.81458429999999,35.1946036
광주전대상대점,광주광역시 북구 용봉동 1238-30 ,광주광역시,북구,126.90079720000001,35.179203799999996
광주전대정문점,광주광역시 북구 신안동 210-1 ,광주광역시,북구,126.9047709,35.1715162
광주조대점,광주광역시 동구 동명동 135-2,광주광역시,동구,126.92726929999999,35.147006700000006
광주진월점,광주광역시 남구 진월동 285-3 ,광주광역시,남구,126.897295,35.1222686
광주첨단2지구점,광주광역시 북구 신용동 684 ,광주광역시,북구,126.8631255,35.2087585
광주첨단점,광주광역시 광산구 월계동 766-3 ,광주광역시,광산구,126.8422857,35.213271
광주탄벌점,경기도 광주시 벌원길 67,경기도,광주시,127.248356,37.4159494
광주풍암점,광주광역시 서구 풍암동 1123-1 ,광주광역시,서구,126.87961680000001,35.1254575
광주하남2지구점,광주광역시 광산구 산정동 1017-8 ,광주광역시,광산구,126.79895800000001,35.176065
광주하남점,광주광역시 광산구 우산동 1579-3 ,광주광역시,광산구,126.80674029999999,35.1635475
광주효천2지구점,광주광역시 남구 행암동 579,광주광역시,남구,126.8892557,35.1022818
광진구청점,서울특별시 광진구 자양로 120,서울특별시,광진구,127.08358510000001,37.5385811
광천점,충청남도 홍성군 광천읍 광천리 244-1 ,충청남도,홍성군,126.6259625,36.502630200000006
광혜원점,충청북도 진천군 광혜원면 광혜원리 247-1 ,충청북도,진천군,127.4457159,36.9903232
괴산점,충청북도 괴산군 괴산읍 동부리 661-86,충청북도,괴산군,127.7929914,36.8091186
구갈점,경기도 용인시 기흥구 관곡로64번길 18,경기도,용인시,127.1124939,37.2811299
구로1점,서울특별시 구로구 도림로 65,서울특별시,구로구,126.8908878,37.489393799999995
구로5동점,서울특별시 구로구 공원로 35,서울특별시,구로구,126.89044720000001,37.500094700000005
구로전화국점,서울특별시 금천구 독산로 353,서울특별시,금천구,126.90361979999999,37.47844570000001
구리갈매점,경기도 구리시 갈매중앙로 89-8,경기도,구리시,127.1173187,37.6328665
구리검배사거리점,경기도 구리시 벌말로 186,경기도,구리시,127.15058729999998,37.5928658
구리수택점,경기도 구리시 체육관로80번길 19,경기도,구리시,127.13904950000001,37.5919196
구리인창점,경기도 구리시 동구릉로85번길 25,경기도,구리시,127.1330541,37.608793
구리주공점,경기도 구리시 건원대로76번길 29,경기도,구리시,127.14057779999999,37.608332399999995
구미공단점,경상북도 구미시 공단동 109,경상북도,구미시,128.3729056,36.121346200000005
구미도량점,경상북도 구미시 도량동 227-4,경상북도,구미시,128.3171529,36.139281200000006
