lng,lat,count,max_lng,min_lng,max_lat,min_lat,cluster,area
127.03760777906089,37.21703362939894,18,127.038975954193,127.036399433176,37.218256500466,37.213806680055704,0,233168.75953180372
128.60212278399237,35.873958431188875,41,128.605962287274,128.596673251117,35.8762803430849,35.8698051341915,1,957353.2771218419
127.51861416602667,34.95957972425645,36,127.521338288517,127.51628049741699,34.9629281368713,34.9576140528476,2,441084.5334236133
128.2121780642297,37.1401634397197,31,128.214824082622,128.208974973058,37.143264452162704,37.134710186191796,3,921730.2494542025
129.04159623712968,35.12135108459775,20,129.043312645974,129.039425573204,35.1241425328028,35.1168999863291,4,607546.2337499815
127.11017541492302,35.84625465402081,21,127.11176174984699,127.10874770056499,35.8481218671441,35.8431895049618,5,294215.37201795547
127.2524555828288,38.18583726231235,50,127.311690481174,127.21759693265498,38.2111964124896,38.1435955334874,6,97507452.21860574
126.4223699899054,34.80558070387378,57,126.4270329643,126.414719040508,34.8103991570647,34.7999549236318,7,2052046.6350788502
127.1014002575015,37.514065427450085,17,127.10401937105499,127.098964357643,37.516792693224396,37.511074577169104,8,473643.55781829706
128.87763173916358,37.76699784770145,29,128.880771617421,128.87421143438,37.7716323849627,37.7621373009469,9,1136665.0687007525
126.4793633143742,33.48533962848957,39,126.482724785952,126.476501688029,33.488446942783604,33.482124293331196,10,649801.7067307578
127.43062418326359,36.66425373819324,43,127.434016511481,127.42641740351499,36.7175261461476,36.637843631227796,11,62018365.659561984
129.55578498820682,35.99177335692518,22,129.557606531448,129.554382575678,35.9932347637282,35.9900947818283,12,161821.20861152533
126.78779615363749,37.6422187311197,25,126.791807733559,126.784537811794,37.645719893327495,37.6375047728171,13,977185.5785437162
126.91379935564127,35.17618090786451,28,126.915022769823,126.912311209167,35.1777878173032,35.1735395175805,14,222967.78438151177
128.72694348002375,35.142708953873495,32,128.814261078584,128.699676557944,35.1569596988439,35.099965972168306,15,116829332.29516014
128.62634600048466,36.824566573731175,25,128.629001568997,128.624353420833,36.827032558885705,36.821034167091604,16,483844.2361876707
127.75241457851082,37.84943298752699,41,127.755345649309,127.74863115142,37.853351282583,37.847515151872294,17,603731.1645181036
129.42502591982537,35.497304641410686,26,129.42853820244198,129.419031883882,35.4997475710311,35.495399906456896,18,765237.7988143455
126.69170900354912,36.076629998239305,23,126.698964343748,126.686183722752,36.078870999668105,36.0737683270236,19,1289033.9451371362
126.63044777965013,36.8953000359499,40,126.635795031112,126.62613047970301,36.897603742684296,36.8932607465503,20,763278.7086759798
127.43827807658995,36.365470466919525,24,127.440682326504,127.436374019944,36.36761110872111,36.363764157625496,21,260590.94178201296
126.79083834335714,37.44249121957137,20,126.792864934734,126.787426672324,37.444231100121605,37.440902709917395,22,288622.6243354242
126.97165489680144,37.57618031611563,99,126.97442045799299,126.969181058869,37.579362817114394,37.5723605011134,23,643596.2698369678
128.34816173047832,36.10868651041137,32,128.356014549893,128.339686416065,36.12543883488429,36.0855005927915,24,17179549.282506485
127.1312229053572,36.91797678671282,32,127.133733860154,127.128089007013,36.9191398452053,36.916033146235,25,291515.51975767926
128.16122634696643,35.56753401060117,24,128.163814545674,128.158232932707,35.5721534681524,35.561755484946204,26,1250110.5536315667
126.84932227646016,35.569435797292826,32,126.853120071276,126.844575620135,35.5739457350992,35.5654338671956,27,1172655.5750412494
129.10838294626475,37.54969906786785,30,129.111563625216,129.105511342703,37.5519137043452,37.547347529127606,28,426063.8451835503
127.92757277036688,37.34711488779823,45,127.93025804616501,127.924543738115,37.3506135828877,37.3443715531595,29,578763.3154934373
128.42578651385315,34.86674684228993,64,128.432178243489,128.416049096482,34.889264058790395,34.855684722126,30,12650224.253119312
