store,address,city,district,lat,lng
마포점,"서울특별시 마포구 백범로 123 (염리동, 신양빌딩)",서울특별시,마포구,37.5468195,126.94492369999999
망원점,서울특별시 마포구 월드컵로10길 5 (서교동),서울특별시,마포구,37.554566799999996,126.9120314
상암점,서울특별시 마포구 월드컵북로 336 (상암동),서울특별시,마포구,37.5760649,126.89469009999998
신촌점,"서울특별시 마포구 창전로 60, 1층 104~105호 (구수동, 서강빌딩)",서울특별시,마포구,37.5477946,126.93290719999999
서대문점,서울특별시 서대문구 통일로 149-1 (냉천동),서울특별시,서대문구,37.5675317,126.9646453
연희점,서울특별시 서대문구 연희로 95 (연희동),서울특별시,서대문구,37.5666166,126.9304366
홍제점,서울특별시 서대문구 세검정로 72 (홍제동),서울특별시,서대문구,37.5939523,126.94827990000002
동서초점,"서울특별시 서초구 서운로 220, 1층 2,3호 (서초동, 대지스포츠플라자)",서울특별시,서초구,37.5027161,127.02178719999999
방배역점,"서울특별시 서초구 효령로 140 (방배동, 서진빌딩)",서울특별시,서초구,37.4814618,126.99930049999999
방배점,서울특별시 서초구 방배로 254 (방배동),서울특별시,서초구,37.4957797,126.98884640000001
서방배점,서울특별시 서초구 효령로 22 멤버스뷰,서울특별시,서초구,37.477434499999994,126.9875091
서초점,"서울특별시 서초구 사임당로 115 지하1층 B101,B102호",서울특별시,서초구,37.4911711,127.02236380000001
양재점,"서울특별시 서초구 바우뫼로 198, 1층 (양재동, 신우빌딩)",서울특별시,서초구,37.4796661,127.0412095
잠원점,"서울특별시 서초구 나루터로 61, 101호 (잠원동, 태승빌딩)",서울특별시,서초구,37.515415000000004,127.016745
성수2호점,"서울특별시 성동구 성수일로 1, 1층 (성수동1가)",서울특별시,성동구,37.5408475,127.0478504
옥수점,"서울특별시 성동구 독서당로 212, 1층 (옥수동)",서울특별시,성동구,37.543407,127.01441299999999
왕십리점,서울특별시 성동구 난계로 81 (하왕십리동),서울특별시,성동구,37.5592081,127.0235443
행당점,서울특별시 성동구 고산자로 308 (마장동),서울특별시,성동구,37.5670451,127.03704440000001
동소문점,서울특별시 성북구 아리랑로 37-2 (동소문동7가),서울특별시,성북구,37.5960958,127.01535690000001
정릉점,"서울특별시 성북구 보국문로 27, 1층 (정릉동)",서울특별시,성북구,37.6069787,127.01046129999999
가락점,서울특별시 송파구 오금로36길 65,서울특별시,송파구,37.4984666,127.12171399999998
롯데월드점,서울특별시 송파구 올림픽로 240 롯데월드 지하1층,서울특별시,송파구,37.5110794,127.09816380000001
석촌점,"서울특별시 송파구 백제고분로 285 (석촌동, 조광빌딩)",서울특별시,송파구,37.5027907,127.0983466
오금점,서울특별시 송파구 중대로 314-1 (오금동),서울특별시,송파구,37.508257,127.13372279999999
위례점,"서울시 송파구 위례광장로 290 제상가동 1층 138,139호 (장지동 위례중앙푸르지오 2단지)",서울특별시,송파구,37.4747277,127.1428384
잠실본점,서울특별시 송파구 백제고분로 184 (잠실동),서울특별시,송파구,37.504403499999995,127.087057
잠실야구장점,"서울특별시 송파구 올림픽로 25, 야구장내1호점 (잠실동, 서울종합운동장)",서울특별시,송파구,37.514802200000005,127.0736261
잠실점,서울특별시 송파구 백제고분로 490 거보산업(주),서울특별시,송파구,37.5139214,127.11483319999999
장지점,서울특별시 송파구 송이로32길 37 (문정동),서울특별시,송파구,37.486971200000006,127.1276788
목동점,"서울특별시 양천구 목동중앙로 85, 금호종합상가 (목동)",서울특별시,양천구,37.5370105,126.87150849999999
신월점,서울특별시 양천구 신월로 224 (신월동),서울특별시,양천구,37.521733399999995,126.8467273
양천점,서울특별시 양천구 신월로 371 (신정동),서울특별시,양천구,37.5224109,126.86228359999998
당산점,"서울특별시 영등포구 영중로 145, 상가동 101호 (영등포동8가, 삼환아파트)",서울특별시,영등포구,37.5295953,126.9049055
대림점,"서울특별시 영등포구 신길로 39, 1층 (대림동, 썬프라자)",서울특별시,영등포구,37.495988,126.90782809999999
대방점,서울특별시 영등포구 여의대방로 209 (신길동),서울특별시,영등포구,37.505609,126.9222742
여의도점,"서울특별시 영등포구 국제금융로 78 (여의도동, 홍우빌딩)",서울특별시,영등포구,37.520874400000004,126.93130929999998
영등포점,"서울특별시 영등포구 문래북로 108 (문래동3가, 문래동태영데시앙)",서울특별시,영등포구,37.5197002,126.89762350000001
용산점,"서울특별시 용산구 원효로 210-1, 1층 (원효로2가)",서울특별시,용산구,37.5373714,126.9655087
이촌점,서울특별시 용산구 서빙고로 40 (한강로3가),서울특별시,용산구,37.5239945,126.9687497
이태원점,"서울특별시 용산구 보광로 112-3, 2층 (이태원동)",서울특별시,용산구,37.5328758,126.99467240000001
후암점,"서울특별시 용산구 두텁바위로 13, 102호 (갈월동, 그린빌파크오피스텔)",서울특별시,용산구,37.5455164,126.97394109999999
가좌점,"서울특별시 은평구 증산로 303, 상가 104~106호 (증산동, 태광아파트)",서울특별시,은평구,37.5841679,126.909566
구파발점,"서울특별시 은평구 진관4로 17, 820동 상가 101호 (진관동, 은평뉴타운상림마을)",서울특별시,은평구,37.644057399999994,126.9227324
연신내점,서울특별시 은평구 통일로 797 (대조동),서울특별시,은평구,37.6153384,126.9249775
은평점,서울특별시 은평구 연서로 35 (역촌동),서울특별시,은평구,37.6022741,126.915578
응암점,"서울특별시 은평구 백련산로 160 (응암동, 녹번역센트레빌)",서울특별시,은평구,37.598677,126.926119
대학로점,서울특별시 종로구 율곡로 223 (이화동),서울특별시,종로구,37.5762985,127.0036811
성균관대 인사캠(서울점),서울특별시 종로구 성균관로 25-2 지하 1층 600주년 기념관,서울특별시,종로구,37.5879535,126.9921594
세종로점,서울특별시 종로구 필운대로 43 (누하동),서울특별시,종로구,37.579901899999996,126.96852390000001
명동점,서울특별시 중구 마른내로 47 (초동),서울특별시,중구,37.564707399999996,126.99323190000001
신당점,서울특별시 중구 다산로 156 (신당동),서울특별시,중구,37.5575864,127.0124888
면목점,"서울특별시 중랑구 용마산로86길 9-27, 상가 104호 (면목동, 신성미소지움아파트)",서울특별시,중랑구,37.5870716,127.095859
