city,district,cost,count,citycode,citycode_mod,population,sales,brand,area,pizzaschool,domino,pizzahut,mrpizza,EarningRatio
서울특별시,동대문구,716845000,5,11230,11,346312.0,930407333.3333334,domino,서울특별시 동대문구,False,True,False,False,1.298
서울특별시,강남구,1461820000,7,11680,11,542108.0,930407333.3333334,domino,서울특별시 강남구,False,True,False,False,0.636
서울특별시,도봉구,577420000,2,11320,11,337346.0,930407333.3333334,domino,서울특별시 도봉구,False,True,False,False,1.611
서울특별시,노원구,640945000,5,11350,11,539884.0,930407333.3333334,domino,서울특별시 노원구,False,True,False,False,1.452
서울특별시,금천구,595570000,2,11545,11,234173.0,930407333.3333334,domino,서울특별시 금천구,False,True,False,False,1.562
서울특별시,구로구,641770000,4,11530,11,405516.0,930407333.3333334,domino,서울특별시 구로구,False,True,False,False,1.45
서울특별시,광진구,876895000,4,11215,11,354344.0,930407333.3333334,domino,서울특별시 광진구,False,True,False,False,1.061
서울특별시,관악구,669820000,4,11620,11,502251.0,930407333.3333334,domino,서울특별시 관악구,False,True,False,False,1.389
서울특별시,서대문구,740770000,3,11410,11,311586.0,930407333.3333334,domino,서울특별시 서대문구,False,True,False,False,1.256
서울특별시,강동구,887620000,4,11740,11,424727.0,930407333.3333334,domino,서울특별시 강동구,False,True,False,False,1.048
서울특별시,강북구,607119999,3,11305,11,316604.0,930407333.3333334,domino,서울특별시 강북구,False,True,False,False,1.532
울산광역시,울주군,417369999,3,31710,31,222191.0,726895333.3333334,domino,울산광역시 울주군,False,True,False,False,1.742
인천광역시,강화군,357970000,0,28710,28,68992.0,798447666.6666666,domino,인천광역시 강화군,False,True,False,False,2.23
인천광역시,부평구,471820000,3,28237,28,520171.0,798447666.6666666,domino,인천광역시 부평구,False,True,False,False,1.692
인천광역시,남동구,454494999,5,28200,28,536255.0,798447666.6666666,domino,인천광역시 남동구,False,True,False,False,1.757
인천광역시,계양구,437170000,2,28245,28,308685.0,798447666.6666666,domino,인천광역시 계양구,False,True,False,False,1.826
인천광역시,연수구,512245000,4,28185,28,352172.0,798447666.6666666,domino,인천광역시 연수구,False,True,False,False,1.559
전라남도,영광군,300220000,0,46870,46,54040.0,681123666.6666666,domino,전라남도 영광군,False,True,False,False,2.269
전라남도,해남군,339820000,0,46820,46,71214.0,681123666.6666666,domino,전라남도 해남군,False,True,False,False,2.004
전라남도,여수시,393445000,2,46130,46,282946.0,681123666.6666666,domino,전라남도 여수시,False,True,False,False,1.731
전라남도,화순군,338170000,0,46790,46,63499.0,681123666.6666666,domino,전라남도 화순군,False,True,False,False,2.014
전라남도,보성군,323820000,0,46780,46,42262.0,681123666.6666666,domino,전라남도 보성군,False,True,False,False,2.103
전라남도,고흥군,312070000,0,46770,46,65570.0,681123666.6666666,domino,전라남도 고흥군,False,True,False,False,2.183
전라남도,광양시,326620000,1,46230,46,152104.0,681123666.6666666,domino,전라남도 광양시,False,True,False,False,2.085
전라남도,구례군,353320000,0,46730,46,26474.0,681123666.6666666,domino,전라남도 구례군,False,True,False,False,1.928
전라남도,순천시,353020000,2,46150,46,280361.0,681123666.6666666,domino,전라남도 순천시,False,True,False,False,1.929
전라남도,완도군,373320000,0,46890,46,51213.0,681123666.6666666,domino,전라남도 완도군,False,True,False,False,1.825
전라남도,나주시,349720000,1,46170,46,114815.0,681123666.6666666,domino,전라남도 나주시,False,True,False,False,1.948
전라남도,목포시,356320000,2,46110,46,230930.0,681123666.6666666,domino,전라남도 목포시,False,True,False,False,1.912
전라남도,무안군,404170000,1,46840,46,81808.0,681123666.6666666,domino,전라남도 무안군,False,True,False,False,1.685
전라북도,고창군,338170000,0,45790,45,56407.0,803489333.3333334,domino,전라북도 고창군,False,True,False,False,2.376
전라북도,군산시,339820000,1,45130,45,271781.0,803489333.3333334,domino,전라북도 군산시,False,True,False,False,2.364
전라북도,정읍시,349720000,1,45180,45,111535.0,803489333.3333334,domino,전라북도 정읍시,False,True,False,False,2.298
전라북도,김제시,322495000,1,45210,45,84734.0,803489333.3333334,domino,전라북도 김제시,False,True,False,False,2.491
전라북도,임실군,338070000,0,45750,45,28606.0,803489333.3333334,domino,전라북도 임실군,False,True,False,False,2.377
전라북도,익산시,351370000,2,45140,45,291001.0,803489333.3333334,domino,전라북도 익산시,False,True,False,False,2.287
