rank,title,year
1,Black Panther ,2018
2,Mission: Impossible - Fallout ,2018
3,BlacKkKlansman ,2018
4,Spider-Man: Into the Spider-Verse ,2018
5,Roma ,2018
6,A Star Is Born ,2018
7,Eighth Grade ,2018
8,A Quiet Place ,2018
9,Can You Ever Forgive Me? ,2018
10,Paddington 2 ,2018
11,Incredibles 2 ,2018
12,The Favourite ,2018
13,Call Me by Your Name ,2018
14,Leave No Trace ,2018
15,Widows ,2018
16,Won't You Be My Neighbor? ,2018
17,Shoplifters ,2018
18,The Death of Stalin ,2018
19,The Hate U Give ,2018
20,Ant-Man and the Wasp ,2018
21,First Man ,2018
22,Crazy Rich Asians ,2018
23,Sorry to Bother You ,2018
24,Phantom Thread ,2018
25,"I, Tonya ",2018
26,The Post ,2018
27,Avengers: Infinity War ,2018
28,Isle of Dogs ,2018
29,Hereditary ,2018
30,The Old Man & the Gun ,2018
31,The Rider ,2018
32,Minding the Gap ,2018
33,McQueen ,2018
34,Summer 1993 ,2018
35,Three Identical Strangers ,2018
36,Bumblebee ,2018
37,Free Solo ,2018
38,First Reformed ,2018
39,The Guilty ,2018
40,Wildlife ,2018
41,Tea With the Dames ,2018
42,Shirkers ,2018
43,A Fantastic Woman ,2018
44,RBG ,2018
45,Cold War ,2018
46,Burning ,2018
47,The Tale ,2018
48,Border ,2018
49,Oh Lucy! ,2018
50,Night Comes On ,2018
51,Loveless ,2018
52,"Love, Simon ",2018
53,Searching ,2018
54,Hannah Gadsby: Nanette ,2018
55,Mandy ,2018
56,Blindspotting ,2018
57,Annihilation ,2018
58,Deadpool 2 ,2018
59,The Ballad of Buster Scruggs ,2018
60,Zama ,2018
61,You Were Never Really Here ,2018
62,In Between ,2018
63,Thunder Road ,2018
64,I Am Not a Witch ,2018
65,The Cakemaker ,2018
66,Foxtrot ,2018
67,Science Fair ,2018
68,Custody ,2018
69,Sweet Country ,2018
70,Ralph Breaks the Internet ,2018
71,"Hale County This Morning, This Evening ",2018
72,Ryuichi Sakamoto: Coda ,2018
73,Marlina the Murderer in Four Acts ,2018
74,Rodents of Unusual Size ,2018
75,Leaning Into the Wind ,2018
76,To All the Boys I've Loved Before ,2018
77,Pick of the Litter ,2018
78,Lean on Pete ,2018
79,Western ,2018
80,Blaze ,2018
81,Revenge ,2018
82,Support the Girls ,2018
83,The Endless ,2018
84,Filmworker ,2018
85,American Animals ,2018
86,On Her Shoulders ,2018
87,Private Life ,2018
88,CAM ,2018
89,Tully ,2018
90,Robin Williams: Come Inside My Mind ,2018
91,Hearts Beat Loud ,2018
92,Beast ,2018
93,The Guardians ,2018
94,Journey's End ,2018
95,Capernaum ,2018
96,Creed II ,2018
97,1985 ,2018
98,Dark Money ,2018
99,Teen Titans Go! To the Movies ,2018
100,Colette ,2018
