store,address,city,district,lat,lng,population,city_district
고대점,서울특별시 동대문구 안암로 82 (제기동),서울특별시,동대문구,37.5832071,127.0303032,346312,서울특별시동대문구
이문점,서울특별시 동대문구 이문로 163-1 (이문동),서울특별시,동대문구,37.60117260000001,127.0618597,346312,서울특별시동대문구
장안점,서울특별시 동대문구 한천로 95 (답십리동),서울특별시,동대문구,37.5700636,127.0642936,346312,서울특별시동대문구
전농점,"서울시 동대문구 서울시립대로 75 102동 106호(전농동, 전농동신성미소지움아파트)",서울특별시,동대문구,37.5783198,127.0486607,346312,서울특별시동대문구
홍릉점,"서울특별시 동대문구 회기로 30, 1층 (제기동)",서울특별시,동대문구,37.5910826,127.0398168,346312,서울특별시동대문구
사당점,서울특별시 동작구 사당로 261 (사당동),서울특별시,동작구,37.483792,126.976617,399118,서울특별시동작구
상도점,서울특별시 동작구 상도로 302 (상도동),서울특별시,동작구,37.50073610000001,126.9494065,399118,서울특별시동작구
중앙대점,서울특별시 동작구 현충로 136 (흑석동),서울특별시,동작구,37.506212700000006,126.968274,399118,서울특별시동작구
마포점,"서울특별시 마포구 백범로 123 (염리동, 신양빌딩)",서울특별시,마포구,37.5468195,126.9449237,374824,서울특별시마포구
망원점,서울특별시 마포구 월드컵로10길 5 (서교동),서울특별시,마포구,37.5545668,126.9120314,374824,서울특별시마포구
상암점,서울특별시 마포구 월드컵북로 336 (상암동),서울특별시,마포구,37.5760649,126.89469009999998,374824,서울특별시마포구
신촌점,"서울특별시 마포구 창전로 60, 1층 104~105호 (구수동, 서강빌딩)",서울특별시,마포구,37.5477946,126.9329072,374824,서울특별시마포구
서대문점,서울특별시 서대문구 통일로 149-1 (냉천동),서울특별시,서대문구,37.5675317,126.9646453,311586,서울특별시서대문구
연희점,서울특별시 서대문구 연희로 95 (연희동),서울특별시,서대문구,37.5666166,126.9304366,311586,서울특별시서대문구
홍제점,서울특별시 서대문구 세검정로 72 (홍제동),서울특별시,서대문구,37.5939523,126.94827990000002,311586,서울특별시서대문구
동서초점,"서울특별시 서초구 서운로 220, 1층 2,3호 (서초동, 대지스포츠플라자)",서울특별시,서초구,37.5027161,127.0217872,432336,서울특별시서초구
방배역점,"서울특별시 서초구 효령로 140 (방배동, 서진빌딩)",서울특별시,서초구,37.4814618,126.9993005,432336,서울특별시서초구
방배점,서울특별시 서초구 방배로 254 (방배동),서울특별시,서초구,37.4957797,126.9888464,432336,서울특별시서초구
서방배점,서울특별시 서초구 효령로 22 멤버스뷰,서울특별시,서초구,37.4774345,126.9875091,432336,서울특별시서초구
서초점,"서울특별시 서초구 사임당로 115 지하1층 B101,B102호",서울특별시,서초구,37.4911711,127.0223638,432336,서울특별시서초구
양재점,"서울특별시 서초구 바우뫼로 198, 1층 (양재동, 신우빌딩)",서울특별시,서초구,37.4796661,127.0412095,432336,서울특별시서초구
잠원점,"서울특별시 서초구 나루터로 61, 101호 (잠원동, 태승빌딩)",서울특별시,서초구,37.515415,127.016745,432336,서울특별시서초구
성수2호점,"서울특별시 성동구 성수일로 1, 1층 (성수동1가)",서울특별시,성동구,37.5408475,127.0478504,305785,서울특별시성동구
옥수점,"서울특별시 성동구 독서당로 212, 1층 (옥수동)",서울특별시,성동구,37.543407,127.014413,305785,서울특별시성동구
왕십리점,서울특별시 성동구 난계로 81 (하왕십리동),서울특별시,성동구,37.5592081,127.0235443,305785,서울특별시성동구
행당점,서울특별시 성동구 고산자로 308 (마장동),서울특별시,성동구,37.5670451,127.0370444,305785,서울특별시성동구
동소문점,서울특별시 성북구 아리랑로 37-2 (동소문동7가),서울특별시,성북구,37.5960958,127.0153569,439754,서울특별시성북구
정릉점,"서울특별시 성북구 보국문로 27, 1층 (정릉동)",서울특별시,성북구,37.6069787,127.0104613,439754,서울특별시성북구
가락점,서울특별시 송파구 오금로36길 65,서울특별시,송파구,37.4984666,127.12171399999998,679824,서울특별시송파구
롯데월드점,서울특별시 송파구 올림픽로 240 롯데월드 지하1층,서울특별시,송파구,37.5110794,127.0981638,679824,서울특별시송파구
석촌점,"서울특별시 송파구 백제고분로 285 (석촌동, 조광빌딩)",서울특별시,송파구,37.5027907,127.0983466,679824,서울특별시송파구
오금점,서울특별시 송파구 중대로 314-1 (오금동),서울특별시,송파구,37.508257,127.1337228,679824,서울특별시송파구
위례점,"서울시 송파구 위례광장로 290 제상가동 1층 138,139호 (장지동 위례중앙푸르지오 2단지)",서울특별시,송파구,37.4747277,127.1428384,679824,서울특별시송파구
잠실본점,서울특별시 송파구 백제고분로 184 (잠실동),서울특별시,송파구,37.5044035,127.087057,679824,서울특별시송파구
잠실야구장점,"서울특별시 송파구 올림픽로 25, 야구장내1호점 (잠실동, 서울종합운동장)",서울특별시,송파구,37.51480220000001,127.0736261,679824,서울특별시송파구
잠실점,서울특별시 송파구 백제고분로 490 거보산업(주),서울특별시,송파구,37.5139214,127.1148332,679824,서울특별시송파구
장지점,서울특별시 송파구 송이로32길 37 (문정동),서울특별시,송파구,37.486971200000006,127.1276788,679824,서울특별시송파구
목동점,"서울특별시 양천구 목동중앙로 85, 금호종합상가 (목동)",서울특별시,양천구,37.5370105,126.8715085,462126,서울특별시양천구
신월점,서울특별시 양천구 신월로 224 (신월동),서울특별시,양천구,37.5217334,126.8467273,462126,서울특별시양천구
양천점,서울특별시 양천구 신월로 371 (신정동),서울특별시,양천구,37.5224109,126.86228359999998,462126,서울특별시양천구
당산점,"서울특별시 영등포구 영중로 145, 상가동 101호 (영등포동8가, 삼환아파트)",서울특별시,영등포구,37.5295953,126.9049055,368874,서울특별시영등포구
대림점,"서울특별시 영등포구 신길로 39, 1층 (대림동, 썬프라자)",서울특별시,영등포구,37.495988,126.9078281,368874,서울특별시영등포구
대방점,서울특별시 영등포구 여의대방로 209 (신길동),서울특별시,영등포구,37.505609,126.9222742,368874,서울특별시영등포구
여의도점,"서울특별시 영등포구 국제금융로 78 (여의도동, 홍우빌딩)",서울특별시,영등포구,37.5208744,126.93130929999998,368874,서울특별시영등포구
