city,district,population,평당 매매가,pizza_school,mr_pizza,pizza_hut,domino
인천광역시,남동구,536255.0,887.6999999999997,152269999,263630999,450978999,454494999
인천광역시,계양구,308685.0,818.4,145340000,254622000,432268000,437170000
인천광역시,연수구,352172.0,1118.7,175370000,293661000,513349000,512245000
전라남도,영광군,54040.0,270.6,90560000,183408000,284362000,300220000
전라남도,해남군,71214.0,429.0,106400000,204000000,327130000,339820000
전라남도,여수시,282946.0,643.5,127850000,231885000,385045000,393445000
전라남도,화순군,63499.0,422.4,105740000,203142000,325348000,338170000
전라남도,보성군,42262.0,365.0,100000000,195680000,309850000,323820000
전라남도,고흥군,65570.0,318.0,95300000,189570000,297160000,312070000
전라남도,광양시,152104.0,376.2,101120000,197136000,312874000,326620000
전라남도,구례군,26474.0,483.0,111800000,211020000,341710000,353320000
전라남도,순천시,280361.0,481.8,111680000,210864000,341386000,353020000
전라남도,완도군,51213.0,563.0,119800000,221420000,363310000,373320000
전라남도,나주시,114815.0,468.6,110360000,209148000,337822000,349720000
전라남도,목포시,230930.0,495.0,113000000,212580000,344950000,356320000
전라남도,무안군,81808.0,686.4,132140000,237462000,396628000,404170000
전라북도,고창군,56407.0,422.4,105740000,203142000,325348000,338170000
전라북도,군산시,271781.0,429.0,106400000,204000000,327130000,339820000
전라북도,정읍시,111535.0,468.6,110360000,209148000,337822000,349720000
전라북도,김제시,84734.0,359.7,99470000,194991000,308419000,322495000
전라북도,임실군,28606.0,422.0,105700000,203090000,325240000,338070000
전라북도,익산시,291001.0,475.2,111020000,210006000,339604000,351370000
전라북도,완주군,93382.0,415.8,105080000,202284000,323566000,336520000
전라북도,부안군,54030.0,389.4,102440000,198852000,316438000,329920000
전라북도,남원시,82095.0,435.6,107060000,204858000,328912000,341470000
전라북도,전주시,653694.0,577.5,121250000,223305000,367225000,376945000
제주특별자치도,서귀포시,181505.0,1029.0,166400000,282000000,489130000,489820000
제주특별자치도,제주시,487143.0,1143.0,177800000,296820000,519910000,518320000
충청남도,홍성군,101037.0,580.8,121580000,223734000,368116000,377770000
충청남도,태안군,63062.0,432.3,106730000,204429000,328021000,340645000
충청남도,청양군,31642.0,369.6,100460000,196278000,311092000,324970000
충청남도,천안시,649107.0,669.9,130490000,235317000,392173000,400045000
충청남도,예산군,79791.0,260.7,89570000,182121000,281689000,297745000
충청남도,아산시,313537.0,570.9,120590000,222447000,365443000,375295000
충청남도,부여군,67524.0,402.6,103760000,200568000,320002000,333220000
충청남도,계룡시,43378.0,475.2,111020000,210006000,339604000,351370000
충청남도,공주시,107036.0,491.7,112670000,212151000,344059000,355495000
충청남도,서천군,53462.0,316.7999999999999,95180000,189414000,296836000,311770000
충청남도,서산시,174344.0,567.6,120260000,222018000,364552000,374470000
충청남도,논산시,120005.0,412.5,104750000,201855000,322675000,335695000
충청남도,당진시,167481.0,590.6999999999998,122569999,225020999,370788999,380244999
충청남도,보령시,101549.0,475.2,111020000,210006000,339604000,351370000
충청남도,금산군,52957.0,557.6999999999998,119269999,220730999,361878999,371994999
충청북도,괴산군,38133.0,567.6,120260000,222018000,364552000,374470000
충청북도,보은군,33448.0,264.0,89900000,182550000,282580000,298570000
충청북도,영동군,49179.0,323.4,95840000,190272000,298618000,313420000
충청북도,옥천군,51371.0,485.1,112010000,211293000,342277000,353845000
충청북도,제천시,135243.0,412.5,104750000,201855000,322675000,335695000
충청북도,증평군,37378.0,419.1,105410000,202713000,324457000,337345000
충청북도,진천군,79919.0,504.9,113990000,213867000,347623000,358795000
충청북도,청주시,838887.0,640.1999999999998,127519999,231455999,384153999,392619999
충청북도,충주시,210463.0,501.6,113660000,213438000,346732000,357970000
충청북도,음성군,95375.0,445.5,108050000,206145000,331585000,343945000
