city,district,population,평당 매매가
전라북도,정읍시,111535.0,468.6
전라북도,김제시,84734.0,359.7
전라북도,임실군,28606.0,422
전라북도,익산시,291001.0,475.2
전라북도,완주군,93382.0,415.8
전라북도,부안군,54030.0,389.4
전라북도,남원시,82095.0,435.6
전라북도,전주시,653694.0,577.5
제주특별자치도,서귀포시,181505.0,1029
제주특별자치도,제주시,487143.0,1143
충청남도,홍성군,101037.0,580.8
충청남도,태안군,63062.0,432.3
충청남도,청양군,31642.0,369.6
충청남도,천안시,649107.0,669.9
충청남도,예산군,79791.0,260.7
충청남도,아산시,313537.0,570.9
충청남도,부여군,67524.0,402.6
충청남도,계룡시,43378.0,475.2
충청남도,공주시,107036.0,491.7
충청남도,서천군,53462.0,316.7999999999999
충청남도,서산시,174344.0,567.6
충청남도,논산시,120005.0,412.5
충청남도,당진시,167481.0,590.6999999999998
충청남도,보령시,101549.0,475.2
충청남도,금산군,52957.0,557.6999999999998
충청북도,괴산군,38133.0,567.6
충청북도,보은군,33448.0,264.0
충청북도,영동군,49179.0,323.4
충청북도,옥천군,51371.0,485.1
충청북도,제천시,135243.0,412.5
충청북도,증평군,37378.0,419.1
충청북도,진천군,79919.0,504.9
충청북도,청주시,838887.0,640.1999999999998
충청북도,충주시,210463.0,501.6
충청북도,음성군,95375.0,445.5
