store,address,lng,lat,city,district,city_district
양산중부점,경남 양산시 중부동 685-4,129.0271898,35.3386253,경상남도,양산시,경상남도양산시
진주신안점,경남 진주시 신안동 10-3,128.071492,35.1879587,경상남도,진주시,경상남도진주시
진주MBC2호점,경남 진주시 가좌동 700-1,128.10734140000002,35.163757000000004,경상남도,진주시,경상남도진주시
진해중앙점,경남 창원시 진해구 이동 675-15,128.6969615,35.15466970000001,경상남도,창원시,경상남도창원시
창원2호점,경남 창원시 성산구 상남동 2-4,128.6864518,35.22350479999999,경상남도,창원시,경상남도창원시
창원명서2호점,경남 창원시 의창구 명서동 202-3번지,128.64961540000002,35.240777,경상남도,창원시,경상남도창원시
통영무전점,경남 통영시 무전동 1015-6,128.4217683,34.8602581,경상남도,통영시,경상남도통영시
경산점,경북 경산시 중방동 883-35,128.7403744,35.8237034,경상북도,경산시,경상북도경산시
경주황성점,경북 경주시 황성동 480-6,129.2159703,35.8626426,경상북도,경주시,경상북도경주시
구미송정2호점,경북 구미시 송정동 461-6,128.3426237,36.1173426,경상북도,구미시,경상북도구미시
구미원평,경북 구미시 원평동 375-5 2층,128.3342835,36.1288616,경상북도,구미시,경상북도구미시
구미인동점,경북 구미시 진평동 620번지,128.4199757,36.1049168,경상북도,구미시,경상북도구미시
김천대신점,경북 김천시 신음동 464-1번지,128.1177237,36.1350831,경상북도,김천시,경상북도김천시
김천혁신점,경북 김천시 율곡동 780 율곡스퀘어3 107호,128.1833115,36.117971399999995,경상북도,김천시,경상북도김천시
문경점촌점,경북 문경시 모전동 860-14,128.1912106,36.5868849,경상북도,문경시,경상북도문경시
상주점,경북 상주시 복룡동 467-12,128.162912,36.4189763,경상북도,상주시,경상북도상주시
안동본점,경북 안동시 당북동 119-13,128.72042199999999,36.5660047,경상북도,안동시,경상북도안동시
영주점,경북 영주시 영주2동 422-4,128.62201480000002,36.82073629999999,경상북도,영주시,경상북도영주시
포항대흥점,경북 포항시 북구 대흥동 595-7,129.3622078,36.0365263,경상북도,포항시,경상북도포항시
포항장성점,경북 포항시 북구 장성동 1577-9,129.38454950000002,36.07456320000001,경상북도,포항시,경상북도포항시
포항지곡2호점,경북 포항시 남구 대잠동 780-78,129.3356369,36.010973299999996,경상북도,포항시,경상북도포항시
광주광천점,광주 서구 화정동 69-7 번지,126.8783531,35.157219700000006,광주광역시,서구,광주광역시서구
광주금남로점,광주 동구 금남로5가 114-3,126.9121366,35.1520659,광주광역시,동구,광주광역시동구
광주금호점,광주 서구 금호동 732-8,126.8589915,35.1400035,광주광역시,서구,광주광역시서구
광주문흥점,광주 북구 문흥동 952-13,126.91817890000002,35.1870224,광주광역시,북구,광주광역시북구
광주비엔날레점,전남 광주시 북구 용봉동 1035번지,126.889053,35.1813067,전라남도,광주시,전라남도광주시
광주수완점,광주 광산구 하남동 752,126.8044353,35.1794977,광주광역시,광산구,광주광역시광산구
광주양산점,광주 북구 연제동 478-56,126.8708263,35.206090100000004,광주광역시,북구,광주광역시북구
광주주월점,광주 남구 주월동 401-4 1층,126.89794429999999,35.129695700000006,광주광역시,남구,광주광역시남구
신창점,광주 광산구 신창동 1224-4번지 반석빌딩2층,126.83740379999999,35.1923161,광주광역시,광산구,광주광역시광산구
대구감삼점,대구 달서구 감삼동 64-10,128.54432820000002,35.8532473,대구광역시,달서구,대구광역시달서구
대구성당점,대구 달서구 성당동 567-1 번지,128.5490045,35.8414554,대구광역시,달서구,대구광역시달서구
대구수성2호점,대구 수성구 수성동4가 1085-5,128.61833810000002,35.8598723,대구광역시,수성구,대구광역시수성구
대구안심점,대구 동구 동호동 106-25,128.7134439,35.8692388,대구광역시,동구,대구광역시동구
대구칠곡본점,대구광역시 북구 동천동 905-3,128.5584366,35.9424341,대구광역시,북구,대구광역시북구
대구침산점,대구 북구 칠성동2가 81-3,128.5893351,35.8797476,대구광역시,북구,대구광역시북구
대구황금역점,대구 수성구 청수로 166,128.6260763,35.838961100000006,대구광역시,수성구,대구광역시수성구
복현점,대구 북구 복현동 200-2,128.6160529,35.897511,대구광역시,북구,대구광역시북구
상인역2호점,대구 달서구 상인동 730,128.5379282,35.819404600000006,대구광역시,달서구,대구광역시달서구
성서계명대점,대구 달서구 신당동 1804-4번지,128.4948084,35.8553273,대구광역시,달서구,대구광역시달서구
시지광장점,대구 수성구 신매동 567-41,128.70681299999998,35.839577399999996,대구광역시,수성구,대구광역시수성구
영대병원점,대구 남구 봉덕동 1298-4,128.5908504,35.846458399999996,대구광역시,남구,대구광역시남구
대전가오점,대전 동구 가오동 235-26,127.4523155,36.3061111,대전광역시,동구,대전광역시동구
대전갈마점,대전 서구 갈마동 262-12,127.36961629999999,36.3551394,대전광역시,서구,대전광역시서구
대전관저점,대전 서구 관저동 1515번지 207호,127.3379193,36.2985744,대전광역시,서구,대전광역시서구
대전도마2호점,대전 서구 도마동 90-36,127.37846909999999,36.317611799999995,대전광역시,서구,대전광역시서구
대전엑스포점,대전 유성구 도룡동 385-15,127.3790287,36.3862527,대전광역시,유성구,대전광역시유성구
대전우송점,대전 동구 가양동 172-4,127.44691979999999,36.3435595,대전광역시,동구,대전광역시동구
대전탄방점,대전 서구 탄방동 1161,127.3954878,36.3478257,대전광역시,서구,대전광역시서구
대전테크노밸리점,대전 유성구 관평동 943,127.3912146,36.426084499999995,대전광역시,유성구,대전광역시유성구
대전한남점,대전 대덕구 중리동 251-1 한밭오피스텔 107호,127.42725039999999,36.3585148,대전광역시,대덕구,대전광역시대덕구
유성2호점,대전 유성구 봉명동 552-5,127.34125,36.354320200000004,대전광역시,유성구,대전광역시유성구
자운대점,대전 유성구 신봉동 154-1 자운레스텔1층,127.3381402,36.408109,대전광역시,유성구,대전광역시유성구
동아대점,부산 사하구 하단동 492-2,128.964779,35.1125283,부산광역시,사하구,부산광역시사하구
부산개금점,부산 부산진구 개금동 186-8,129.0256338,35.153473,부산광역시,부산진구,부산광역시부산진구
부산괴정2호점,부산 사하구 괴정동 477-31,128.9938738,35.0961179,부산광역시,사하구,부산광역시사하구
부산구서점,부산 금정구 구서동 86-89,129.090844,35.24846420000001,부산광역시,금정구,부산광역시금정구
부산다대포2호점,부산 사하구 다대동 1667 다대푸르지오상가 121동 102호,128.97290149999998,35.062029700000004,부산광역시,사하구,부산광역시사하구
부산대연점,부산 남구 대연동 324-17 1층,129.0964527,35.135518299999994,부산광역시,남구,부산광역시남구
부산덕천점,부산 북구 덕천동 400-17,129.00648429999998,35.2101357,부산광역시,북구,부산광역시북구
부산망미점,부산 수영구 망미2동 412-21,129.1076006,35.1766036,부산광역시,수영구,부산광역시수영구
부산명장점,부산 동래구 명장동 489-24,129.1046789,35.209914399999995,부산광역시,동래구,부산광역시동래구
부산명지점,부산 강서구 명지동 3231번지 퀸덤1차아파트 상가동,128.8977595,35.084881200000005,부산광역시,강서구,부산광역시강서구
부산반여점,부산 해운대구 반여1동 1629-4,129.1234207,35.2002911,부산광역시,해운대구,부산광역시해운대구
부산보수점,부산 중구 보수동3가 72-3,129.0228525,35.103413200000006,부산광역시,중구,부산광역시중구
부산부암점,부산 부산진구 부암동 80-50,129.0527562,35.1651917,부산광역시,부산진구,부산광역시부산진구
부산서면2호점,부산 부산진구 부전동 175,129.0614383,35.1551405,부산광역시,부산진구,부산광역시부산진구
